scenario,method,seed,fatal_per_1k_hrs,collision_per_1k_hrs,survival_ratio,avg_tta_hours,evac_activation_rate,mean_p_prep
scenario_1_calm_passage,baseline_a,0,0.0,1.9706498951781968,1.0,0.0,0.0,0.0
scenario_1_calm_passage,baseline_a,1,0.0,1.9914215686274508,1.0,0.0,0.0,0.0
scenario_1_calm_passage,baseline_a,2,0.0,1.980251736111111,1.0,0.0,0.0,0.0
scenario_1_calm_passage,baseline_b,0,13.295971410006498,0.003169622339498249,0.04269005847953217,1.1428571428571428,0.9984310369419483,0.3611232315964488
scenario_1_calm_passage,baseline_b,1,13.320158571903338,0.0029672886103593982,0.04094858282295969,1.1363636363636365,0.9990029910269193,0.3570958168603218
scenario_1_calm_passage,baseline_b,2,13.380424415832142,0.002185662056906692,0.03660944206008584,1.1041666666666667,0.998140200286123,0.36279797806183756
scenario_1_calm_passage,proposed,0,13.147354737121566,0.0,0.05339045892724726,1.0568181818181819,0.9998352146329406,0.7850027412493512
scenario_1_calm_passage,proposed,1,13.148904257978502,0.0,0.05327889342554787,1.1428571428571428,0.9996666944421299,0.7865172494372844
scenario_1_calm_passage,proposed,2,13.088877873246677,0.00011474627304105162,0.05760079312623926,1.125,0.9996695307336417,0.7818892394793098
scenario_2_storm_corridor,baseline_a,0,0.0,1.9817073170731707,1.0,0.0,0.0,0.0
scenario_2_storm_corridor,baseline_a,1,0.0,1.9861464517953067,1.0,0.0,0.0,0.0
scenario_2_storm_corridor,baseline_a,2,0.0,2.012330285397617,1.0,0.0,0.0,0.0
scenario_2_storm_corridor,baseline_b,0,13.228577102571741,0.006560562860830957,0.04754244861483468,1.0625,0.9980850248946763,0.2493894041993059
scenario_2_storm_corridor,baseline_b,1,13.234957318342703,0.005205080158234437,0.047083073079325424,1.25,0.9973766396002498,0.2562550255775248
scenario_2_storm_corridor,baseline_b,2,13.250080353274921,0.00890873265417348,0.04599421456420576,0.9642857142857143,0.9979876745063514,0.25416836108643687
scenario_2_storm_corridor,proposed,0,12.933537933537933,8.25000825000825e-05,0.06878526878526879,1.2083333333333333,0.9995247995247996,0.7084594101548418
scenario_2_storm_corridor,proposed,1,12.950290977996264,0.00016858516585408617,0.06757904958426898,1.1521739130434783,0.9996965467014627,0.7058614164672888
scenario_2_storm_corridor,proposed,2,12.928678589367383,8.261294842308405e-05,0.06913514156554842,1.1071428571428572,0.9996431120628123,0.7076660395338398
scenario_3_blind_shore,baseline_a,0,0.0,1.9909688013136289,1.0,0.0,0.0,0.0
scenario_3_blind_shore,baseline_a,1,0.0,1.990740740740741,1.0,0.0,0.0,0.0
scenario_3_blind_shore,baseline_a,2,0.0,1.9886363636363635,1.0,0.0,0.0,0.0
scenario_3_blind_shore,baseline_b,0,13.061339853815008,0.003943839722353684,0.05958353052531945,1.1691176470588236,0.998461902508282,0.2584824927748457
scenario_3_blind_shore,baseline_b,1,13.13120928471651,0.003916500215407512,0.05455293150041123,1.1203703703703705,0.9981200798966043,0.2577894378058687
scenario_3_blind_shore,baseline_b,2,13.094715268628311,0.004990617638838983,0.05718050065876153,1.15625,0.9971254042400287,0.25337007774831527
scenario_3_blind_shore,proposed,0,12.455509494797228,0.00034894513884527076,0.10320331637459959,1.16875,0.9997487595000314,0.6707384252290244
scenario_3_blind_shore,proposed,1,12.4533066215906,0.00017390457508156124,0.10336192324547674,1.256578947368421,0.9994365491767357,0.6747451627272553
scenario_3_blind_shore,proposed,2,12.38476887379265,8.736249143847583e-05,0.10829664108692917,1.2264150943396226,0.9998112970184929,0.6746032662046644
scenario_4_deep_water_rescue,baseline_a,0,0.0,1.9184027777777777,1.0,0.0,0.0,0.0
scenario_4_deep_water_rescue,baseline_a,1,0.0,1.9629629629629628,1.0,0.0,0.0,0.0
scenario_4_deep_water_rescue,baseline_a,2,0.0,1.9327894327894328,1.0,0.0,0.0,0.0
scenario_4_deep_water_rescue,baseline_b,0,13.497503840245775,0.0009600614439324117,0.028179723502304146,1.125,0.9974654377880184,0.21964028862032806
scenario_4_deep_water_rescue,baseline_b,1,13.574259087154068,0.00354966955803387,0.022653345724907063,0.0,0.9974442379182156,0.21743985397899618
scenario_4_deep_water_rescue,baseline_b,2,13.497781977583537,0.005249757198729559,0.028159697613985353,0.0,0.9976376092605717,0.21901727795976045
scenario_4_deep_water_rescue,proposed,0,13.099907839410173,0.0001440009216058983,0.0568066355624676,0.75,0.9994815966822188,0.6613130486584937
scenario_4_deep_water_rescue,proposed,1,13.118324901630128,0.0,0.05548060708263069,1.4166666666666667,0.9995784148397976,0.6574131820156243
scenario_4_deep_water_rescue,proposed,2,13.190220684190903,0.0,0.05030411073825503,1.125,0.9995805369127517,0.6650184826122825
